year,state,state_ansi,crop,acres_harvested,acres_planted,production_dollars,production_bu,yield_buperacre
2024,ALABAMA,1,WHEAT,"60,000","110,000","24,495,000","4,260,000",71
2024,ARIZONA,4,WHEAT,"58,000","59,000","54,180,000","6,322,000",109
2024,ARKANSAS,5,WHEAT,"85,000","130,000","26,751,000","4,760,000",56
2024,CALIFORNIA,6,WHEAT,"108,000","350,000","62,379,000","9,114,000",84.4
2024,COLORADO,8,WHEAT,"1,840,000","2,100,000","326,508,000","64,400,000",35
2024,DELAWARE,10,WHEAT,"52,000","70,000","18,720,000","3,744,000",72
2024,GEORGIA,13,WHEAT,"60,000","145,000","20,178,000","3,540,000",59
2024,IDAHO,16,WHEAT,"1,135,000","1,210,000","562,080,000","101,015,000",89
2024,ILLINOIS,17,WHEAT,"700,000","770,000","325,080,000","60,200,000",86
2024,INDIANA,18,WHEAT,"240,000","310,000","118,121,000","21,360,000",89
2024,KANSAS,20,WHEAT,"7,150,000","7,600,000","1,669,454,000","307,450,000",43
2024,KENTUCKY,21,WHEAT,"390,000","560,000","162,338,000","29,250,000",75
2024,MARYLAND,24,WHEAT,"180,000","325,000","67,500,000","13,500,000",75
2024,MICHIGAN,26,WHEAT,"375,000","400,000","181,069,000","32,625,000",87
2024,MINNESOTA,27,WHEAT,"1,180,000","1,220,000","457,498,000","80,830,000",68.5
2024,MISSISSIPPI,28,WHEAT,"35,000","60,000","9,625,000","1,750,000",50
2024,MISSOURI,29,WHEAT,"485,000","680,000","205,155,000","36,375,000",75
2024,MONTANA,30,WHEAT,"5,080,000","5,330,000","1,010,471,000","173,420,000",34.1
2024,NEBRASKA,31,WHEAT,"920,000","1,000,000","240,157,000","47,840,000",52
2024,NEW MEXICO,35,WHEAT,"150,000","375,000","9,630,000","1,800,000",12
2024,NEW YORK,36,WHEAT,"120,000","135,000","54,450,000","9,000,000",75
2024,NORTH CAROLINA,37,WHEAT,"330,000","410,000","98,753,000","18,810,000",57
2024,NORTH DAKOTA,38,WHEAT,"6,475,000","6,575,000","2,106,944,000","368,285,000",56.9
2024,OHIO,39,WHEAT,"475,000","530,000","220,448,000","40,375,000",85
2024,OKLAHOMA,40,WHEAT,"2,900,000","4,400,000","609,406,000","110,200,000",38
2024,OREGON,41,WHEAT,"730,000","750,000","293,825,000","51,100,000",70
2024,PENNSYLVANIA,42,WHEAT,"200,000","250,000","83,100,000","15,000,000",75
2024,SOUTH CAROLINA,45,WHEAT,"65,000","80,000","18,077,000","3,510,000",54
2024,SOUTH DAKOTA,46,WHEAT,"1,395,000","1,520,000","413,549,000","78,995,000",56.6
